"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43885-23780","SF","Jake","Jake Layman","Layman","18.621429443359375","14","3500","MIN@DAL","MIN","DAL","O","Toe","","",""
"43885-110309","SF","KZ","KZ Okpala","Okpala","4.5","5","3500","MIA@CLE","MIA","CLE","","","","",""
"43885-110308","SF","Jarrell","Jarrell Brantley","Brantley","4.166666666666667","3","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-9446","PG","Jeff","Jeff Teague","Teague","23.77","50","3500","ATL@PHI","ATL","PHI","","","","",""
"43885-84711","SG","Grayson","Grayson Allen","Allen","12.090000406901042","30","3500","MEM@LAC","MEM","LAC","GTD","Hip","","",""
"43885-15592","PG","Austin","Austin Rivers","Rivers","15.705769465519833","52","3500","NY@HOU","HOU","NY","","","","",""
"43885-110315","SG","Terance","Terance Mann","Mann","5.074285888671875","35","3500","MEM@LAC","LAC","MEM","","","","",""
"43885-110317","PG","Jaylen","Jaylen Nowell","Nowell","7.75","10","3500","MIN@DAL","MIN","DAL","","","","",""
"43885-84721","SF","Jarred","Jarred Vanderbilt","Vanderbilt","2.7999999306418677","11","3500","MIN@DAL","MIN","DAL","","","","",""
"43885-84720","SF","Melvin","Melvin Frazier","Frazier","2.8785713740757535","14","3500","ORL@BKN","ORL","BKN","","","","",""
"43885-110320","SF","Matisse","Matisse Thybulle","Thybulle","14.16326530612245","49","3500","ATL@PHI","PHI","ATL","","","","",""
"43885-110324","SG","Miye","Miye Oni","Oni","0.06666666766007741","3","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-110327","PG","Justin","Justin Wright-Foreman","Wright-Foreman","0","1","3500","PHO@UTA","UTA","PHO","","","","",""
"43885-85238","SG","Yuta","Yuta Watanabe","Watanabe","3.566666497124566","9","3500","MEM@LAC","MEM","LAC","","","","",""
"43885-110329","PF","Bruno","Bruno Fernando","Fernando","10.517021016871675","47","3500","ATL@PHI","ATL","PHI","","","","",""
"43885-110328","SF","Admiral","Admiral Schofield","Schofield","6.56923088660607","26","3500","MIL@WAS","WAS","MIL","","","","",""
"43885-110331","SG","Ty","Ty Jerome","Jerome","9.734782343325408","23","3500","PHO@UTA","PHO","UTA","","","","",""
"43885-84730","SG","J.P.","J.P. Macura","Macura","0","1","3500","MIA@CLE","CLE","MIA","","","","",""
